"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2019","2019",309906,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2020","2020",315017,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2021","2021",328982,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2015","2015",191805,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2016","2016",198030,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2017","2017",204256,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2018","2018",210506,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2019","2019",214317,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2020","2020",218664,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2021","2021",223645,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2022","2022",228253,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354918,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360567,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365428,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375779,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383846,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390352,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396178,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398787,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402855,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2019","2019",409306,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2020","2020",419183,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2021","2021",428867,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2010","2010",54481,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2011","2011",55000,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2012","2012",55694,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2013","2013",55893,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2014","2014",56064,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2015","2015",56376,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2016","2016",56997,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2017","2017",57827,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2018","2018",58517,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2019","2019",58913,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2020","2020",59707,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2010","2010",97833,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2011","2011",99129,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2012","2012",100536,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2013","2013",101926,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2014","2014",103507,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2015","2015",105839,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2016","2016",107629,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2017","2017",109838,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2018","2018",111994,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2019","2019",114613,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2020","2020",116562,,
"FIN","Finland","TNBN","Total number of nurses","TOT","Total","2021","2021",118010,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2010","2010",524693,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2011","2011",537940,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2012","2012",558687,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2013","2013",573328,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2014","2014",586415,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2015","2015",598687,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2016","2016",608388,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2017","2017",615515,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2018","2018",623598,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2019","2019",631140,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2020","2020",637644,,
"FRA","France","TNBN","Total number of nurses","TOT","Total","2021","2021",654064,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2012","2012",820000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2013","2013",850000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2014","2014",868000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2015","2015",876000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2016","2016",895000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2017","2017",916000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2018","2018",955000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2019","2019",980000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2020","2020",1001000,,
"DEU","Germany","TNBN","Total number of nurses","TOT","Total","2021","2021",1001000,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2013","2013",53323,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2014","2014",60216,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2015","2015",59273,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2016","2016",61167,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2017","2017",63739,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2018","2018",64695,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2019","2019",64722,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2020","2020",64197,,
"HUN","Hungary","TNBN","Total number of nurses","TOT","Total","2021","2021",64678,,
"IRL","Ireland","TNBN","Total number of nurses","TOT","Total","2021","2021",64072,,
