"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2020","2020",100260,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2021","2021",103196,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2019","2019",309906,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2020","2020",315017,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2021","2021",328982,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",35842,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36772,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37685,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37651,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2019","2019",39207,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2020","2020",39694,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2021","2021",40471,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2022","2022",40957,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2015","2015",60138,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2016","2016",61899,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2017","2017",63615,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2018","2018",66561,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2019","2019",68724,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2020","2020",70452,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2021","2021",72657,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2022","2022",74518,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2015","2015",191805,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2016","2016",198030,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2017","2017",204256,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2018","2018",210506,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2019","2019",214317,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2020","2020",218664,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2021","2021",223645,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2022","2022",228253,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99811,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",102909,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2019","2019",104593,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2020","2020",105504,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2021","2021",107303,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354918,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360567,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365428,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375779,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383846,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390352,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396178,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398787,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402855,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2019","2019",409306,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2020","2020",419183,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2021","2021",428867,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2010","2010",42614,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2011","2011",42166,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2012","2012",41582,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2013","2013",42174,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2014","2014",41671,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2015","2015",41893,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2016","2016",42682,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2017","2017",43283,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2018","2018",43951,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2019","2019",43994,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2020","2020",44388,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2021","2021",44932,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2022","2022",45506,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2010","2010",20669,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2011","2011",21107,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2012","2012",21456,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2013","2013",21610,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2014","2014",21881,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2015","2015",22335,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2016","2016",22904,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2017","2017",23689,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2018","2018",24306,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2019","2019",24715,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2020","2020",25522,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2010","2010",54481,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2011","2011",55000,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2012","2012",55694,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2013","2013",55893,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2014","2014",56064,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2015","2015",56376,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2016","2016",56997,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2017","2017",57827,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2018","2018",58517,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2019","2019",58913,,
"DNK","Denmark","TNBN","Total number of nurses","TOT","Total","2020","2020",59707,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2010","2010",20306,,
