"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2020","2020",100260,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2021","2021",103196,,
