"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2020","2020",100260,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2021","2021",103196,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2019","2019",309906,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2020","2020",315017,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2021","2021",328982,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99811,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",102909,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2019","2019",104593,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2020","2020",105504,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2021","2021",107303,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354918,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360567,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365428,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375779,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383846,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390352,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396178,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398787,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402855,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2019","2019",409306,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2020","2020",419183,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2021","2021",428867,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2010","2010",155310,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2011","2011",158439,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2012","2012",160378,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2013","2013",169015,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2014","2014",172721,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2015","2015",166324,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2016","2016",168801,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2017","2017",171527,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2018","2018",174845,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2019","2019",191326,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2020","2020",199415,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2021","2021",207596,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2010","2010",629029,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2011","2011",631625,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2012","2012",634672,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2013","2013",638189,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2014","2014",644473,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2015","2015",650743,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2016","2016",650638,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2017","2017",647678,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2018","2018",652651,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2019","2019",660213,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2020","2020",678040,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2021","2021",692800,,
