"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354918,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360567,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365428,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375779,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383846,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390352,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396178,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398787,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402855,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2019","2019",409306,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2020","2020",419183,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2021","2021",428867,,
