"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2010","2010",155310,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2011","2011",158439,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2012","2012",160378,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2013","2013",169015,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2014","2014",172721,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2015","2015",166324,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2016","2016",168801,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2017","2017",171527,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2018","2018",174845,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2019","2019",191326,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2020","2020",199415,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2021","2021",207596,,
