"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2010","2010",629029,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2011","2011",631625,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2012","2012",634672,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2013","2013",638189,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2014","2014",644473,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2015","2015",650743,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2016","2016",650638,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2017","2017",647678,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2018","2018",652651,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2019","2019",660213,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2020","2020",678040,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2021","2021",692800,,
